image_id,path,label,corruption,severity,draw,frequency_band,frequency_rank,original_path,dataset_name,split_name,wnid,width,height
n03417042_5691,clean/n03417042_5691.png,569,clean,0,0,none,0,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/gaussian_noise/severity_1/draw_0/n03417042_5691.png,569,gaussian_noise,1,0,high,1,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/gaussian_noise/severity_1/draw_1/n03417042_5691.png,569,gaussian_noise,1,1,high,1,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/gaussian_noise/severity_1/draw_2/n03417042_5691.png,569,gaussian_noise,1,2,high,1,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/gaussian_noise/severity_2/draw_0/n03417042_5691.png,569,gaussian_noise,2,0,high,1,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/gaussian_noise/severity_2/draw_1/n03417042_5691.png,569,gaussian_noise,2,1,high,1,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/gaussian_noise/severity_2/draw_2/n03417042_5691.png,569,gaussian_noise,2,2,high,1,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/gaussian_noise/severity_3/draw_0/n03417042_5691.png,569,gaussian_noise,3,0,high,1,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/gaussian_noise/severity_3/draw_1/n03417042_5691.png,569,gaussian_noise,3,1,high,1,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/gaussian_noise/severity_3/draw_2/n03417042_5691.png,569,gaussian_noise,3,2,high,1,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/gaussian_noise/severity_4/draw_0/n03417042_5691.png,569,gaussian_noise,4,0,high,1,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/gaussian_noise/severity_4/draw_1/n03417042_5691.png,569,gaussian_noise,4,1,high,1,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/gaussian_noise/severity_4/draw_2/n03417042_5691.png,569,gaussian_noise,4,2,high,1,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/gaussian_noise/severity_5/draw_0/n03417042_5691.png,569,gaussian_noise,5,0,high,1,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/gaussian_noise/severity_5/draw_1/n03417042_5691.png,569,gaussian_noise,5,1,high,1,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/gaussian_noise/severity_5/draw_2/n03417042_5691.png,569,gaussian_noise,5,2,high,1,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/shot_noise/severity_1/draw_0/n03417042_5691.png,569,shot_noise,1,0,high,2,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/shot_noise/severity_1/draw_1/n03417042_5691.png,569,shot_noise,1,1,high,2,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/shot_noise/severity_1/draw_2/n03417042_5691.png,569,shot_noise,1,2,high,2,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/shot_noise/severity_2/draw_0/n03417042_5691.png,569,shot_noise,2,0,high,2,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/shot_noise/severity_2/draw_1/n03417042_5691.png,569,shot_noise,2,1,high,2,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/shot_noise/severity_2/draw_2/n03417042_5691.png,569,shot_noise,2,2,high,2,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/shot_noise/severity_3/draw_0/n03417042_5691.png,569,shot_noise,3,0,high,2,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/shot_noise/severity_3/draw_1/n03417042_5691.png,569,shot_noise,3,1,high,2,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/shot_noise/severity_3/draw_2/n03417042_5691.png,569,shot_noise,3,2,high,2,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/shot_noise/severity_4/draw_0/n03417042_5691.png,569,shot_noise,4,0,high,2,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/shot_noise/severity_4/draw_1/n03417042_5691.png,569,shot_noise,4,1,high,2,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/shot_noise/severity_4/draw_2/n03417042_5691.png,569,shot_noise,4,2,high,2,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/shot_noise/severity_5/draw_0/n03417042_5691.png,569,shot_noise,5,0,high,2,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/shot_noise/severity_5/draw_1/n03417042_5691.png,569,shot_noise,5,1,high,2,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/shot_noise/severity_5/draw_2/n03417042_5691.png,569,shot_noise,5,2,high,2,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/jpeg_compression/severity_1/n03417042_5691.png,569,jpeg_compression,1,0,high,3,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/jpeg_compression/severity_1/n03417042_5691.png,569,jpeg_compression,1,1,high,3,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/jpeg_compression/severity_1/n03417042_5691.png,569,jpeg_compression,1,2,high,3,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/jpeg_compression/severity_2/n03417042_5691.png,569,jpeg_compression,2,0,high,3,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/jpeg_compression/severity_2/n03417042_5691.png,569,jpeg_compression,2,1,high,3,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/jpeg_compression/severity_2/n03417042_5691.png,569,jpeg_compression,2,2,high,3,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/jpeg_compression/severity_3/n03417042_5691.png,569,jpeg_compression,3,0,high,3,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/jpeg_compression/severity_3/n03417042_5691.png,569,jpeg_compression,3,1,high,3,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/jpeg_compression/severity_3/n03417042_5691.png,569,jpeg_compression,3,2,high,3,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
n03417042_5691,high_frequency/jpeg_compression/severity_4/n03417042_5691.png,569,jpeg_compression,4,0,high,3,data/imagenette2/val/n03417042/n03417042_5691.JPEG,imagenette,val,n03417042,500,390
